订单ID,订单号,用户ID,note_id,笔记链接,类型,下单量,完成量,缺口量,原状态,现状态,清理批次,清理时间
6188,ORDER-1779807321304-415,3,6a0d49c1000000003803613e,https://www.xiaohongshu.com/explore/6a0d49c1000000003803613e,阅读,5000,4166,834,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5207,ORDER-1779778223421-399,3,6a1040d30000000036030361,https://www.xiaohongshu.com/explore/6a1040d30000000036030361,阅读,9000,8170,830,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5225,ORDER-1779778223423-417,3,6a0564d20000000035025ba6,https://www.xiaohongshu.com/explore/6a0564d20000000035025ba6,阅读,9000,8249,751,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5900,ORDER-1779807321254-127,3,6a07de350000000035033ffe,https://www.xiaohongshu.com/explore/6a07de350000000035033ffe,阅读,5000,4268,732,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6382,ORDER-1779807321334-609,3,6a0d402b000000003601ce17,https://www.xiaohongshu.com/explore/6a0d402b000000003601ce17,阅读,5000,4307,693,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6337,ORDER-1779807321323-564,3,6a083c460000000038022985,https://www.xiaohongshu.com/explore/6a083c460000000038022985,阅读,5000,4313,687,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5206,ORDER-1779778223421-398,3,6a0fe6e0000000003502ebc7,https://www.xiaohongshu.com/explore/6a0fe6e0000000003502ebc7,阅读,9000,8318,682,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5670,ORDER-1779784568894-135,3,6a153d590000000036019888,https://www.xiaohongshu.com/explore/6a153d590000000036019888,阅读,7000,6332,668,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6281,ORDER-1779807321319-508,3,6a1547df00000000350217e0,https://www.xiaohongshu.com/explore/6a1547df00000000350217e0,阅读,5000,4350,650,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5275,ORDER-1779778223427-467,3,6a0e7b090000000035025dc7,https://www.xiaohongshu.com/explore/6a0e7b090000000035025dc7,阅读,9000,8384,616,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6381,ORDER-1779807321334-608,3,6a0ecf6d000000003700c007,https://www.xiaohongshu.com/explore/6a0ecf6d000000003700c007,阅读,5000,4424,576,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5262,ORDER-1779778223426-454,3,6a0ef0e7000000003701eda4,https://www.xiaohongshu.com/explore/6a0ef0e7000000003701eda4,阅读,9000,8504,496,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5203,ORDER-1779778223421-395,3,6a06fb25000000003601dd3b,https://www.xiaohongshu.com/explore/6a06fb25000000003601dd3b,阅读,9000,8528,472,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5260,ORDER-1779778223426-452,3,6a10083b0000000007021124,https://www.xiaohongshu.com/explore/6a10083b0000000007021124,阅读,9000,8544,456,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5755,ORDER-1779788398866-001,3,6a15432a0000000007011326,https://www.xiaohongshu.com/explore/6a15432a0000000007011326,阅读,6200,5771,429,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5249,ORDER-1779778223425-441,3,6a1033c600000000350250f7,https://www.xiaohongshu.com/explore/6a1033c600000000350250f7,阅读,8000,7721,279,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5187,ORDER-1779778223420-379,3,6a0d89990000000035023e0c,https://www.xiaohongshu.com/explore/6a0d89990000000035023e0c,阅读,9000,8835,165,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5386,ORDER-1779779396766-010,3,6a0ead6d0000000035022e03,https://www.xiaohongshu.com/explore/6a0ead6d0000000035022e03,阅读,8000,7835,165,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5253,ORDER-1779778223426-445,3,6a102d41000000003501f13b,https://www.xiaohongshu.com/explore/6a102d41000000003501f13b,阅读,8000,7850,150,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
